licenseNumber,licenseType,licenseStatus,businessDbaName,businessLegalName,premiseCounty,issueDate,expirationDate,licenseTerm,licenseDesignation,businessOwnerName,businessEmail,businessPhone,activity,licenseStatusDate,businessStructure
CCL18-0000040,Cultivation -  Specialty Indoor,Active,Data Not Available,"P&S Ventures, LLC",Riverside,7/10/2019 0:00,7/10/2024 0:00,Provisional,Adult-Use,"Eric Hughes, Jason Beck",Data Not Available,(310) 367-9533,Data Not Available,7/10/2023 0:00,Limited Liability Company
CCL18-0000041,Cultivation -  Small Outdoor,Expired,Data Not Available,Mattole Valley Organics,Humboldt,5/24/2019 0:00,5/24/2023 0:00,Annual,Medicinal,Dylan Mattole,Data Not Available,(707) 599-1467,Data Not Available,6/23/2023 0:00,Corporation
CCL18-0000042,Cultivation -  Small Outdoor,Active,Data Not Available,East Mill Creek Farms,Humboldt,5/28/2019 0:00,5/28/2024 0:00,Annual,Medicinal,Andrew Barber,Data Not Available,(707) 629-3614,Data Not Available,4/25/2023 0:00,Limited Liability Company
CCL18-0000043,Cultivation -  Small Outdoor,Surrendered,Data Not Available,Ardea,Trinity,3/18/2019 0:00,3/18/2021 0:00,Annual,Adult-Use,"Daniel Vinson, Marie Sanders",Data Not Available,(415) 438-0998,Data Not Available,1/21/2021 0:00,Corporation
CCL18-0000044,Cultivation -  Specialty Outdoor,Active,Data Not Available,Forbidden Fruit Farms,Humboldt,10/27/2018 0:00,10/27/2024 0:00,Annual,Adult-Use,"Devin Carstensen, Dylan Carstensen",Data Not Available,(707) 223-2885,Data Not Available,10/23/2023 0:00,Corporation
CCL18-0000045,Cultivation -  Specialty Outdoor,Active,Data Not Available,Forbidden Fruit Farms,Humboldt,10/27/2018 0:00,10/27/2024 0:00,Annual,Adult-Use,"Devin Carstensen, Dylan Carstensen",Data Not Available,(707) 223-2885,Data Not Available,10/23/2023 0:00,Corporation
CCL18-0000047,Cultivation -  Medium Indoor,Active,Data Not Available,NC3 Systems,Santa Clara,5/24/2019 0:00,5/24/2024 0:00,Annual,Adult-Use,"Greg Gamet, Judith Schvimmer, Laurie Holcomb Thompson, Marshall Minor",Data Not Available,(949) 252-1908,Data Not Available,5/23/2023 0:00,Corporation
CCL18-0000048,Cultivation -  Specialty Indoor,Revoked,Data Not Available,All Cali Farm,Sonoma,5/29/2019 0:00,5/29/2021 0:00,Provisional,Medicinal,"Khi Lai, Lisa Lai",Data Not Available,(530) 209-2768,Data Not Available,9/16/2020 0:00,Limited Liability Company
CCL18-0000049,Cultivation -  Nursery,Expired,Data Not Available,Medicinal Organic,Alameda,7/19/2019 0:00,7/19/2023 0:00,Provisional,Adult-Use,Alexis Bronson,Data Not Available,(707) 980-0456,Data Not Available,8/18/2023 0:00,Sole Proprietorship
CCL18-0000050,Cultivation -  Specialty Cottage Mixed-Light Tier 1,Expired,Data Not Available,Fox Ridge Agriculture,Sonoma,9/26/2019 0:00,9/26/2022 0:00,Provisional,Medicinal,"Christopher Buck, Holly Mailander",Data Not Available,(650) 380-7220,Data Not Available,10/26/2022 0:00,Corporation
CCL18-0000056,Cultivation -  Specialty Indoor,Active,Data Not Available,"Vmk, Inc.",Santa Clara,5/18/2019 0:00,5/18/2024 0:00,Annual,Adult-Use,"Dan Georgatos, Jaine Krishnamachari, Mathew Krishnamachari, Sara Krishnamachari",Data Not Available,(925) 989-4194,Data Not Available,4/13/2023 0:00,Other
CCL18-0000059,Cultivation -  Medium Indoor,Active,Data Not Available,Shasta Growers LLC,Shasta,5/17/2019 0:00,5/17/2024 0:00,Provisional,Adult-Use,"Christian Morsette, Ryan Muse",Data Not Available,(530) 410-2972,Data Not Available,5/8/2023 0:00,Limited Liability Company
CCL18-0000060,Cultivation -  Specialty Indoor,Active,Data Not Available,Canna Culture Corporation,Santa Clara,3/11/2019 0:00,3/11/2024 0:00,Annual,Adult-Use,"Eric Engstrom, Fabiana Lang",Data Not Available,(530) 277-3389,Data Not Available,3/6/2023 0:00,Corporation
CCL18-0000061,Cultivation -  Medium Outdoor,Expired,Data Not Available,"Heritage Conservation, LLC",Yolo,4/24/2019 0:00,4/24/2020 0:00,Provisional,Medicinal,"Leigh Ann Hatanaka, Terry Hatanaka",Data Not Available,(530) 304-7000,Data Not Available,5/24/2020 0:00,Limited Liability Company
CCL18-0000064,Cultivation -  Medium Outdoor,Expired,Data Not Available,S&R Pharms,Yolo,3/26/2019 0:00,3/26/2021 0:00,Provisional,Adult-Use,Sean Smutny,Data Not Available,(916) 247-0280,Data Not Available,4/25/2021 0:00,Limited Liability Company
CCL18-0000066,Cultivation -  Specialty Indoor,Active,Data Not Available,"TBP Indoor Facilities, Inc.",Riverside,5/14/2019 0:00,5/14/2023 0:00,Annual,Adult-Use,"Andrew Mochulsky, Anjali Reddy, Richard Fisher, Ryan Baker",Data Not Available,(213) 550-2242,Data Not Available,5/12/2023 0:00,Corporation
CCL18-0000067,Cultivation -  Small Outdoor,Active,Data Not Available,"Mattole Acres, LLC",Humboldt,6/26/2019 0:00,6/26/2024 0:00,Annual,Adult-Use,"Jami Samuels, Lars Samuels",Data Not Available,(209) 662-0437,Data Not Available,5/2/2023 0:00,Limited Liability Company
CCL18-0000071,Cultivation -  Medium Mixed-Light Tier 2,Active,Data Not Available,"Rainmaker Properties, LLC",Humboldt,2/22/2019 0:00,2/22/2024 0:00,Annual,Medicinal,David Brite,Data Not Available,(707) 498-3755,Data Not Available,12/24/2023 0:00,Limited Liability Company
CCL18-0000072,Cultivation -  Small Mixed-Light Tier 2,Active,Data Not Available,"Quantum Leasing, LLC",Humboldt,4/29/2019 0:00,4/29/2024 0:00,Annual,Adult-Use,"Braden Clemeshaw, Eric Walz, John Do, Manuel Meras",Data Not Available,(707) 798-7149,Data Not Available,4/27/2023 0:00,Limited Liability Company
CCL18-0000073,Cultivation -  Small Outdoor,Surrendered,Data Not Available,Ferrovia Farms,Mendocino,5/31/2019 0:00,5/31/2021 0:00,Provisional,Adult-Use,Douglas Kerseg,Data Not Available,(707) 841-7940,Data Not Available,10/23/2020 0:00,Sole Proprietorship
CCL18-0000074,Cultivation -  Small Indoor,Expired,Data Not Available,Its in the Bag LLC,San Bernardino,5/15/2019 0:00,5/15/2020 0:00,Annual,Medicinal,"Jeff Katofsky, Jeremy Thomas, Nelson Osorio Jr",Data Not Available,(818) 990-1475,Data Not Available,6/14/2020 0:00,Limited Liability Company
CCL18-0000076,Cultivation -  Small Mixed-Light Tier 1,Expired,Data Not Available,ZEN RIDGE FARM,Humboldt,7/12/2019 0:00,7/12/2021 0:00,Annual,Medicinal,RYUMA IWASHITA,Data Not Available,(707) 601-9792,Data Not Available,8/11/2021 0:00,Limited Liability Company
CCL18-0000079,Cultivation -  Small Mixed-Light Tier 1,Active,Data Not Available,Camellia Farms LLC,Trinity,5/21/2019 0:00,5/21/2024 0:00,Annual,Adult-Use,Florence St-Onge,Data Not Available,(949) 531-3376,Data Not Available,5/18/2023 0:00,Limited Liability Company
CCL18-0000084,Cultivation -  Medium Outdoor,Expired,Data Not Available,"Forever Honeydew Farms, LLC",Humboldt,5/17/2019 0:00,5/17/2022 0:00,Provisional,Adult-Use,Paul Cabeen,Data Not Available,(707) 888-3699,Data Not Available,6/16/2022 0:00,Limited Liability Company
CCL18-0000085,Cultivation -  Small Outdoor,Expired,Data Not Available,"Forever Honeydew Farms, LLC",Humboldt,5/17/2019 0:00,5/17/2022 0:00,Provisional,Medicinal,Paul Cabeen,Data Not Available,(707) 888-3699,Data Not Available,6/16/2022 0:00,Limited Liability Company
CCL18-0000086,Cultivation -  Small Outdoor,Active,Data Not Available,"Humboldt Edge Farms, Inc",Humboldt,1/2/2019 0:00,1/2/2025 0:00,Annual,Adult-Use,"Matthew Nagel, Samantha Shull",Data Not Available,(530) 784-0150,Data Not Available,12/4/2023 0:00,Corporation
CCL18-0000088,Cultivation -  Small Outdoor,Active,Data Not Available,Full Moon Farms,Humboldt,6/10/2019 0:00,6/10/2024 0:00,Annual,Adult-Use,"Kaley Bloom, Nikolai Erickson, Nina Stewart",Data Not Available,(707) 672-5141,Data Not Available,6/8/2023 0:00,Corporation
CCL18-0000089,Cultivation -  Medium Outdoor,Active,Data Not Available,Full Moon Farms,Humboldt,6/10/2019 0:00,6/10/2024 0:00,Annual,Adult-Use,"Kaley Bloom, Nikolai Erickson, Nina Stewart",Data Not Available,(707) 672-5141,Data Not Available,6/8/2023 0:00,Corporation
CCL18-0000090,Cultivation -  Small Indoor,Expired,Data Not Available,Oakland Vision Project,Alameda,4/8/2019 0:00,4/8/2023 0:00,Provisional,Medicinal,"Brian Tucker, Sean Burgess, Vinayak Shastry",Data Not Available,(510) 557-4110,Data Not Available,5/8/2023 0:00,Corporation
CCL18-0000091,Cultivation -  Specialty Outdoor,Active,Data Not Available,"Farmers Support, A California Mutual Benefit Corporation",Mendocino,5/27/2019 0:00,5/27/2024 0:00,Provisional,Medicinal,"Amber O'Neill, Casey O'Neill, Nathaniel O'Neill",Data Not Available,(707) 354-1546,Data Not Available,4/11/2023 0:00,Corporation
CCL18-0000092,Cultivation -  Small Outdoor,Expired,Data Not Available,Emerald Oasis,Mendocino,3/20/2019 0:00,3/20/2023 0:00,Provisional,Medicinal,"Brien Weir, Dominic Weir",Data Not Available,(510) 882-2401,Data Not Available,4/19/2023 0:00,Corporation
CCL18-0000095,Cultivation -  Medium Outdoor,Expired,Data Not Available,Cache Creek Botanicals,Yolo,4/4/2019 0:00,4/4/2023 0:00,Provisional,Medicinal,"Dan Blackstone, Katie Martin",Data Not Available,(415) 250-0397,Data Not Available,5/4/2023 0:00,Corporation
CCL18-0000099,Cultivation -  Specialty Outdoor,Expired,Data Not Available,"Huckleberry Lane, LLC",Humboldt,3/29/2019 0:00,3/29/2021 0:00,Provisional,Medicinal,"Jessica DeKelver, Teal Cyrek",Data Not Available,(707) 223-4477,Data Not Available,4/28/2021 0:00,Limited Liability Company
CCL18-0000100,Cultivation -  Specialty Indoor,Expired,Data Not Available,"Purple Frost, Inc.",Santa Cruz,7/25/2019 0:00,7/25/2020 0:00,Provisional,Adult-Use,"Deborah Bogart, Destry Bogart",Data Not Available,(831) 246-0004,Data Not Available,8/24/2020 0:00,Corporation
CCL18-0000101,Cultivation -  Specialty Mixed-Light Tier 2,Expired,Data Not Available,MCC Collective Inc,Mendocino,8/6/2019 0:00,8/6/2020 0:00,Provisional,Adult-Use,Alfredo Belcore,Data Not Available,(707) 380-5200,Data Not Available,9/5/2020 0:00,Corporation
CCL18-0000102,Cultivation -  Nursery,Active,Data Not Available,Fredo B LLC,Mendocino,5/1/2019 0:00,5/1/2024 0:00,Provisional,Adult-Use,Alfredo Belcore,Data Not Available,(707) 380-5200,Data Not Available,3/23/2023 0:00,Limited Liability Company
CCL18-0000104,Cultivation -  Small Indoor,Active,Data Not Available,CWG Botanicals Inc.,Alameda,4/17/2019 0:00,4/17/2024 0:00,Provisional,Medicinal,Rebecca Kirk,Data Not Available,(954) 336-9021,Data Not Available,4/13/2023 0:00,Corporation
CCL18-0000106,Cultivation -  Specialty Indoor,Active,Data Not Available,"Scarlett Rae Holdings, Inc.",Riverside,5/29/2019 0:00,5/29/2024 0:00,Annual,Adult-Use,"Brandon Purkiss, Misty Purkiss",Data Not Available,(909) 912-2219,Data Not Available,5/18/2023 0:00,Corporation
CCL18-0000108,Cultivation -  Small Outdoor,Expired,Data Not Available,Funny Farms,Santa Barbara,3/12/2019 0:00,3/12/2020 0:00,Provisional,Medicinal,"Jason Downs, Michael Downs",Data Not Available,(805) 448-7650,Data Not Available,4/11/2020 0:00,General Partnership
CCL18-0000109,Cultivation -  Specialty Mixed-Light Tier 1,Expired,Data Not Available,Funny Farms,Santa Barbara,3/12/2019 0:00,3/12/2020 0:00,Provisional,Medicinal,"Jason Downs, Michael Downs",Data Not Available,(805) 448-7650,Data Not Available,4/11/2020 0:00,General Partnership
CCL18-0000110,Cultivation -  Small Outdoor,Expired,Data Not Available,Sunset Mountain,Mendocino,4/15/2019 0:00,4/15/2020 0:00,Provisional,Adult-Use,Stanley Donovan,Data Not Available,(707) 489-3289,Data Not Available,5/15/2020 0:00,Sole Proprietorship
CCL18-0000111,Cultivation -  Specialty Indoor,Active,Data Not Available,"CCCA North, LLC",Contra Costa,3/13/2019 0:00,3/13/2024 0:00,Annual,Adult-Use,"Aaron Godbout, Adam Bonner, Leslie Plettner, OLGA JHURAVLOVA, Rob Howe",Data Not Available,(510) 766-0289,Data Not Available,3/2/2023 0:00,Limited Liability Company
CCL18-0000112,Cultivation -  Specialty Outdoor,Surrendered,Data Not Available,"Mattole 1, LLC",Humboldt,5/1/2019 0:00,5/1/2021 0:00,Annual,Medicinal,"Harry Parnell Kaiser III, Michael Kaiser, Michele Walker",Data Not Available,(619) 224-4168,Data Not Available,2/12/2021 0:00,Limited Liability Company
CCL18-0000116,Cultivation -  Medium Outdoor,Active,Data Not Available,"Mattole 1, LLC.",Humboldt,4/2/2019 0:00,4/2/2024 0:00,Annual,Medicinal,"Harry Kaiser III, Michael Kaiser, Michele Walker",Data Not Available,(619) 993-5255,Data Not Available,2/10/2023 0:00,Limited Liability Company
CCL18-0000117,Cultivation -  Specialty Outdoor,Expired,Data Not Available,CaliGardens LLC,Humboldt,3/25/2019 0:00,3/25/2021 0:00,Annual,Adult-Use,Spencer Sanborn,Data Not Available,(707) 986-8100,Data Not Available,4/24/2021 0:00,Limited Liability Company
CCL18-0000118,Cultivation -  Specialty Outdoor,Expired,Data Not Available,CaliGardens LLC,Humboldt,3/25/2019 0:00,3/25/2021 0:00,Annual,Medicinal,Spencer Sanborn,Data Not Available,(707) 986-8100,Data Not Available,4/24/2021 0:00,Limited Liability Company
CCL18-0000119,Cultivation -  Small Mixed-Light Tier 2,Expired,Data Not Available,"VBF Brands, Inc.",Monterey,3/15/2019 0:00,3/15/2023 0:00,Provisional,Adult-Use,"Jesus Quintero, Lori Livacich, Ray Chacon, Valerie Baugher",Data Not Available,(949) 254-3698,Data Not Available,4/14/2023 0:00,Corporation
CCL18-0000120,Cultivation -  Specialty Outdoor,Expired,Data Not Available,"S&I, LLC",Mendocino,5/9/2019 0:00,5/9/2021 0:00,Provisional,Adult-Use,Eric Sussman,Data Not Available,(310) 470-8500,Data Not Available,6/8/2021 0:00,Limited Liability Partnership
CCL18-0000121,Cultivation -  Small Outdoor,Canceled,Data Not Available,"Honeydew Farms, LLC",Humboldt,5/22/2019 0:00,5/22/2023 0:00,Annual,Medicinal,"Alexander Moore, Miranda Moore",Data Not Available,(707) 498-9044,Data Not Available,7/12/2023 0:00,Limited Liability Company
CCL18-0000122,Cultivation -  Small Outdoor,Canceled,Data Not Available,"Honeydew Farms, LLC",Humboldt,5/22/2019 0:00,5/22/2023 0:00,Annual,Medicinal,"Alexander Moore, Miranda Moore",Data Not Available,(707) 498-9044,Data Not Available,7/11/2023 0:00,Limited Liability Company
CCL18-0000123,Cultivation -  Small Outdoor,Canceled,Data Not Available,"Honeydew Farms, LLC",Humboldt,5/22/2019 0:00,5/22/2023 0:00,Annual,Medicinal,"Alexander Moore, Miranda Moore",Data Not Available,(707) 498-9044,Data Not Available,7/12/2023 0:00,Limited Liability Company
CCL18-0000124,Cultivation -  Small Outdoor,Canceled,Data Not Available,"Honeydew Farms, LLC",Humboldt,5/22/2019 0:00,5/22/2023 0:00,Annual,Medicinal,"Alexander Moore, Miranda Moore",Data Not Available,(707) 498-9044,Data Not Available,7/13/2023 0:00,Limited Liability Company
CCL18-0000125,Cultivation -  Medium Outdoor,Active,Data Not Available,"Honeydew Farms, LLC",Humboldt,5/22/2019 0:00,7/12/2024 0:00,Annual,Medicinal,"Alexander Moore, Miranda Moore",Data Not Available,(707) 498-9044,Data Not Available,6/7/2023 0:00,Limited Liability Company
CCL18-0000125-HIST001,Cultivation -  Small Outdoor,Not in Operation,Data Not Available,"Honeydew Farms, LLC",Humboldt,7/12/2023 0:00,5/22/2024 0:00,Annual,Medicinal,"Alexander Moore, Miranda Moore",Data Not Available,(707) 498-9044,Data Not Available,7/12/2023 0:00,Limited Liability Company
CCL18-0000126,Cultivation -  Small Outdoor,Canceled,Data Not Available,"Honeydew Farms, LLC",Humboldt,5/22/2019 0:00,5/22/2023 0:00,Annual,Medicinal,"Alexander Moore, Miranda Moore",Data Not Available,(707) 498-9044,Data Not Available,7/12/2023 0:00,Limited Liability Company
CCL18-0000127,Cultivation -  Small Indoor,Active,Data Not Available,"Treetop Flyers Collective, Inc.",Monterey,3/20/2019 0:00,3/20/2024 0:00,Provisional,Medicinal,"Norman Morales, Ronald Rubino",Data Not Available,(831) 204-6677,Data Not Available,3/20/2023 0:00,Corporation
CCL18-0000128,Cultivation -  Small Indoor,Active,Data Not Available,"Treetop Flyers Collective, Inc.",Monterey,3/20/2019 0:00,3/20/2024 0:00,Provisional,Adult-Use,"Norman Morales, Ronald Rubino",Data Not Available,(831) 204-6677,Data Not Available,3/20/2023 0:00,Corporation
CCL18-0000129,Cultivation -  Small Outdoor,Canceled,Data Not Available,"Honeydew Farms, LLC",Humboldt,5/22/2019 0:00,5/22/2023 0:00,Annual,Medicinal,"Alexander Moore, Miranda Moore",Data Not Available,(707) 498-9044,Data Not Available,7/17/2023 0:00,Limited Liability Company
CCL18-0000131,Cultivation -  Small Mixed-Light Tier 1,Expired,Data Not Available,Hands in the Earth,Sonoma,6/19/2019 0:00,6/19/2022 0:00,Provisional,Adult-Use,Jamie Ballachino,Data Not Available,(707) 849-5264,Data Not Available,7/19/2022 0:00,Corporation
CCL18-0000132,Cultivation -  Specialty Indoor,Expired,Data Not Available,Hands in the Earth,Sonoma,6/19/2019 0:00,6/19/2020 0:00,Provisional,Medicinal,Jamie Ballachino,Data Not Available,(707) 849-5264,Data Not Available,7/19/2020 0:00,Corporation
CCL18-0000134,Cultivation -  Medium Outdoor,Active,Data Not Available,"Honeydew Farms, LLC",Humboldt,5/22/2019 0:00,7/12/2024 0:00,Annual,Medicinal,"Alexander Moore, Miranda Moore",Data Not Available,(707) 498-9044,Data Not Available,5/30/2023 0:00,Limited Liability Company
CCL18-0000134-HIST001,Cultivation -  Small Outdoor,Not in Operation,Data Not Available,"Honeydew Farms, LLC",Humboldt,7/12/2023 0:00,5/22/2024 0:00,Annual,Medicinal,"Alexander Moore, Miranda Moore",Data Not Available,(707) 498-9044,Data Not Available,7/12/2023 0:00,Limited Liability Company
CCL18-0000135,Cultivation -  Medium Outdoor,Active,Data Not Available,"Honeydew Farms, LLC",Humboldt,5/22/2019 0:00,7/11/2024 0:00,Annual,Medicinal,"Alexander Moore, Miranda Moore",Data Not Available,(707) 498-9044,Data Not Available,5/30/2023 0:00,Limited Liability Company
